symbol,date_time,open,high,low,close,volume
SLCA,16:01,9.96,9.96,9.96,9.96,3786
DBD,16:01,11.57,11.57,11.57,11.57,19
MRSN,16:01,11.7,11.7,11.7,11.7,111
AXDX,16:01,7.06,7.06,7.06,7.06,9
BTBT,16:01,8.05,8.14,8.0,8.11,28084
SWN,16:01,5.07,5.07,5.07,5.07,23513
IVC,16:01,7.2,7.2,7.2,7.2,9
SRNE,16:01,8.58,8.58,8.58,8.58,5853
MTEM,16:01,7.38,7.38,7.38,7.38,784
VLY,16:01,13.07,13.07,13.07,13.07,2650
BW,16:01,7.17,7.17,7.17,7.17,14
CRIS,16:01,7.77,7.77,7.77,7.77,1837
AMWL,16:01,11.63,11.63,11.63,11.63,205774
IO,16:01,1.44,1.44,1.44,1.44,200
ALZN,16:01,5.19,5.2,5.15,5.16,6072
ATOS,16:01,3.95,3.95,3.94,3.94,131
NAT,16:01,2.62,2.62,2.62,2.62,39
GOED,16:01,3.1,3.1,3.085,3.09,149
PCG,16:01,9.15,9.15,9.15,9.15,38643
PRVB,16:01,6.205,6.205,6.205,6.205,107
AXU,16:01,2.15,2.15,2.15,2.15,200
APTS,16:01,10.3,10.3,10.3,10.3,13
SUNW,16:01,8.72,8.73,8.71,8.71,3
IMPL,16:01,12.73,12.73,12.73,12.73,114
AGLE,16:01,6.66,6.66,6.66,6.66,154
ITI,16:01,6.18,6.18,6.18,6.18,11
GRTS,16:01,7.49,7.49,7.49,7.49,856
XL,16:01,6.95,6.95,6.95,6.95,11
TIRX,16:01,4.38,4.38,4.38,4.38,1
AXTI,16:01,10.03,10.03,10.03,10.03,847
IPW,16:01,4.72,4.72,4.72,4.72,1000
ARR,16:01,10.28,10.28,10.28,10.28,19
IMUX,16:01,9.15,9.15,9.15,9.15,387
VINC,16:01,15.01,15.01,15.01,15.01,1
CNDT,16:01,6.7,6.7,6.7,6.7,3554
NRZ,16:01,9.47,9.51,9.47,9.47,11978
RPT,16:01,12.57,12.57,12.57,12.57,92
WRN,16:01,1.88,1.88,1.88,1.88,100
EAF,16:01,11.18,11.18,11.18,11.18,1500
GPRO,16:01,10.27,10.27,10.27,10.27,2649
AVRO,16:01,7.57,7.57,7.57,7.57,833
SID,16:01,8.89,8.89,8.89,8.89,100
ATIP,16:01,3.83,3.94,3.83,3.94,243
CPRX,16:01,5.89,5.89,5.89,5.89,3960
ATNF,16:01,6.96,7.3639,6.96,7.3639,75300
PUMP,16:01,7.86,7.86,7.86,7.86,1916
ORPH,16:01,4.94,4.94,4.94,4.94,90
COE,16:01,3.25,3.25,3.25,3.25,1643
FIXX,16:01,6.6,6.6,6.6,6.6,981
SPRB,16:01,9.74,9.74,9.74,9.74,186
NRAC,16:01,9.65,9.65,9.65,9.65,2645
VVPR,16:01,6.58,6.58,6.58,6.58,1
CLPR,16:01,8.27,8.27,8.27,8.27,3
NNDM,16:01,6.5,6.5,6.5,6.5,1301
AGMH,16:01,8.94,8.94,8.94,8.94,125
CTMX,16:01,5.71,5.71,5.71,5.71,209
LOTZ,16:01,4.58,4.58,4.56,4.56,2422
CTT,16:01,11.66,11.66,11.66,11.66,13
LIVX,16:01,3.56,3.56,3.56,3.56,1123
PPTA,16:01,5.58,5.58,5.58,5.58,568
GEVO,16:01,6.21,6.27,6.21,6.21,101
SPKE,16:01,11.28,11.28,11.28,11.28,257
CASA,16:01,7.86,7.86,7.86,7.86,666
POWW,16:01,7.08,7.09,7.08,7.09,1401
LHDX,16:01,9.48,9.48,9.48,9.48,100
LXP,16:01,12.92,12.92,12.92,12.92,16791
PGEN,16:01,5.7,5.7,5.7,5.7,308
HOFV,16:01,2.93,2.93,2.93,2.93,15
GOSS,16:01,7.87,7.87,7.87,7.87,1442
CRMD,16:01,6.25,6.25,6.25,6.25,10
WWR,16:01,3.95,3.95,3.95,3.95,100
VWE,16:01,9.95,9.95,9.95,9.95,50
KOPN,16:01,6.86,6.86,6.86,6.86,1665
OSW,16:01,9.65,9.65,9.65,9.65,3435
BCEL,16:01,8.21,8.21,8.21,8.21,43
BARK,16:01,8.56,8.56,8.56,8.56,100
VEL,16:01,13.25,13.25,13.25,13.25,700
CDZI,16:01,13.47,13.47,13.2,13.2,4829
OPK,16:01,3.9,3.9,3.88,3.89,48
AWH,16:01,4.74,4.74,4.74,4.74,19
FLDM,16:01,7.1,7.1,7.1,7.1,1640
AGEN,16:01,5.1,5.1,5.0,5.0,63
FLXN,16:01,6.23,6.23,6.23,6.23,1097
GEO,16:01,6.85,6.85,6.85,6.85,6649
MWA,16:01,14.56,14.56,14.56,14.56,42
CECE,16:01,7.11,7.11,7.11,7.11,660
BGCP,16:01,5.32,5.32,5.32,5.32,12354
KZR,16:01,5.14,5.14,5.14,5.14,130
OUST,16:01,9.09,9.09,9.09,9.09,25
SPAQ,16:01,9.85,9.88,9.85,9.88,100025
DRH,16:01,8.69,8.69,8.69,8.69,4925
MGTA,16:01,7.15,7.15,7.15,7.15,93
MBI,16:01,12.61,12.61,12.61,12.61,13
GCI,16:01,5.58,5.58,5.58,5.58,3170
DHC,16:01,3.93,3.93,3.93,3.93,5035
BBIG,16:01,3.335,3.35,3.335,3.35,88
WISH,16:01,9.92,9.932,9.92,9.93,1461
CNSL,16:01,8.87,8.87,8.87,8.87,19
COGT,16:01,6.31,6.31,6.31,6.31,798
ONTX,16:01,5.3,5.3,5.3,5.3,13
PALI,16:01,3.56,3.56,3.56,3.56,1
ARLO,16:01,6.28,6.28,6.28,6.28,21
ATNX,16:01,3.88,3.88,3.88,3.88,1964
CAMP,16:01,12.23,12.23,12.23,12.23,835
NWBI,16:01,13.24,13.24,13.24,13.24,2981
OCGN,16:01,7.06,7.1,7.06,7.1,127
TLIS,16:01,10.96,10.96,10.96,10.96,310
FNB,16:01,11.56,11.56,11.56,11.56,102
HMHC,16:01,11.18,11.18,11.18,11.18,34
SOLO,16:01,3.46,3.5,3.46,3.5,311
CVGI,16:01,9.07,9.07,9.07,9.07,680
ENDP,16:01,5.19,5.19,5.19,5.19,16658
CRK,16:01,6.16,6.16,6.16,6.16,2373
VKTX,16:01,5.83,5.875,5.8,5.875,32
SOS,16:01,2.76,2.76,2.7501,2.76,3319
CAN,16:01,7.02,7.05,7.0,7.05,20
GOVX,16:01,5.25,5.25,5.15,5.15,6631
VACQ,16:01,10.25,10.25,10.25,10.25,2
FINV,16:01,7.22,7.22,7.22,7.22,612
VSTM,16:01,3.39,3.39,3.39,3.39,241
FORA,16:01,11.75,11.75,11.75,11.75,385
UNIT,16:01,11.29,11.29,11.29,11.29,4177
EIGR,16:01,8.26,8.26,8.26,8.26,116
PASG,16:01,13.2,13.2,13.2,13.2,76
DTIL,16:01,10.13,10.13,10.13,10.13,1008
SMMT,16:01,7.99,7.99,7.99,7.99,617
SPOK,16:01,8.8,8.8,8.8,8.8,500
CENX,16:01,13.45,13.45,13.45,13.45,1181
FCEL,16:01,6.55,6.57,6.55,6.57,8651
SXC,16:01,6.82,6.82,6.82,6.82,22
AEVA,16:01,9.13,9.13,9.13,9.13,6386
GNW,16:01,3.32,3.32,3.32,3.32,11869
OIS,16:01,6.23,6.23,6.23,6.23,1451
FBP,16:01,12.05,12.05,12.05,12.05,7672
STKS,16:01,9.02,9.02,9.02,9.02,5
ISEE,16:01,9.0,9.0,9.0,9.0,155
AQB,16:01,5.11,5.11,5.11,5.11,1127
BCTX,16:01,5.0,5.0,4.9995,5.0,5521
OSUR,16:01,11.29,11.29,11.29,11.29,1703
BVN,16:01,8.76,8.76,8.76,8.76,7400
CLVS,16:01,5.09,5.09,5.09,5.09,2113
INTZ,16:01,5.0,5.01,5.0,5.01,806
ZNGA,16:01,10.24,10.25,10.23,10.23,13208
BDTX,16:01,9.37,9.37,9.37,9.37,101
AHH,16:01,13.05,13.05,13.05,13.05,1474
CHMI,16:01,9.33,9.33,9.33,9.33,573
PV,16:01,9.68,9.68,9.68,9.68,100
CPAC,16:01,6.3,6.3,6.3,6.3,673
TALK,16:01,6.13,6.13,6.13,6.13,1
OCFT,16:01,8.11,8.11,8.11,8.11,298
RPHM,16:01,8.67,8.67,8.67,8.67,134
WTI,16:01,4.05,4.05,4.05,4.05,24
ARAY,16:01,4.15,4.15,4.15,4.15,1986
BTRS,16:01,12.02,12.02,12.02,12.02,1600
EYPT,16:01,8.55,8.55,8.55,8.55,448
CARE,16:01,10.9,10.9,10.9,10.9,7
ALTO,16:01,5.37,5.37,5.37,5.37,18
EYEG,16:01,3.18,3.18,3.18,3.18,250
MTRX,16:01,10.75,10.75,10.75,10.75,553
SNSE,16:01,7.53,7.53,7.53,7.53,161
ACET,16:01,7.57,7.57,7.57,7.57,491
SVC,16:01,11.32,11.32,11.32,11.32,7516
FRBK,16:01,3.71,3.71,3.71,3.71,12
ANY,16:01,3.06,3.11,3.06,3.1,15216
ADV,16:01,10.22,10.22,10.22,10.22,20
