symbol,date_time,open,high,low,close,volume
GFI,07:02,9.45,9.45,9.45,9.45,100
MRC,07:02,8.89,8.89,8.89,8.89,9
DOYU,07:02,3.89,3.89,3.89,3.89,100
RTPY,07:02,9.9,9.9,9.9,9.9,4
BCTX,07:02,4.5,4.5,4.5,4.5,80
GNOG,07:02,11.32,11.32,11.32,11.32,30
BB,07:02,10.15,10.15,10.15,10.15,700
MKTY,07:02,8.0,8.0,8.0,8.0,294
RLX,07:02,4.6,4.6,4.6,4.6,3
CAN,07:02,6.37,6.37,6.37,6.37,2
JG,07:02,2.23,2.24,2.23,2.24,400
UWMC,07:02,7.6,7.6,7.6,7.6,30
AEI,07:02,2.32,2.32,2.31,2.31,50899
GE,07:02,13.08,13.08,13.08,13.08,100
KOPN,07:02,6.66,6.66,6.66,6.66,10
SOS,07:02,2.78,2.78,2.78,2.78,250
IKT,07:02,2.22,2.22,2.22,2.22,950
SOLO,07:02,3.39,3.39,3.39,3.39,50
BBIG,07:02,3.25,3.25,3.25,3.25,88
NOK,07:02,5.76,5.76,5.76,5.76,1
QSI,07:02,11.6,11.6,11.6,11.6,10
NCTY,07:02,11.66,11.66,11.64,11.65,34
UK,07:02,1.27,1.27,1.27,1.27,20
ATOS,07:02,3.89,3.89,3.89,3.89,10
NNDM,07:02,6.25,6.25,6.25,6.25,10
TEVA,07:02,8.87,8.87,8.62,8.63,1220
OGI,07:02,2.42,2.42,2.42,2.42,881
RIDE,07:02,6.75,6.75,6.75,6.75,2
BTBT,07:02,7.86,7.9,7.85,7.9,12051
EDU,07:02,2.19,2.19,2.19,2.19,200
GOTU,07:02,3.01,3.01,2.99,2.99,18651
HUDI,07:03,4.3,4.3,4.3,4.3,30
ICMB,07:03,6.0,6.0,6.0,6.0,100
RCON,07:03,3.24,3.24,3.24,3.24,640
ET,07:03,9.82,9.83,9.78,9.83,2745
BITF,07:03,4.24,4.25,4.24,4.25,612
OSUR,07:03,10.7,10.7,10.7,10.7,2
BNGO,07:03,5.81,5.81,5.81,5.81,1
ARR,07:03,10.5,10.5,10.48,10.48,73
LFC,07:03,8.4,8.4,8.4,8.4,120
UMC,07:03,9.38,9.38,9.38,9.38,300
DPW,07:03,2.36,2.36,2.36,2.36,260
FOLD,07:03,8.84,8.84,8.84,8.84,100
